cam1_X,cam1_Y
186.104411,448.595107
263.733632,438.715024
347.008615,423.189180
435.929359,409.074776
534.730186,393.548932
602.479325,286.279462
691.400069,366.731564
774.675052,440.126465
865.007236,523.401447
958.162302,609.499311
935.579256,478.235355
1034.380083,468.355272
1134.592350,452.829428
1246.096141,440.126465
1354.777050,426.012061
1326.548243,321.565472
1409.823225,392.137491
1500.155410,464.120951
1596.133356,536.104411
1693.522743,609.499311
1591.899035,493.761199
1693.522743,481.058236
1807.849414,464.120951
1923.587526,451.417988
2040.737078,431.657822
